tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037188201,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4466,8583742.654,16919.48808
06037188202,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4467,8230132.954,11771.53901
06037188300,District 1,Los Angeles - Atwater Village,SPA 4 - Metro,4468,9856462.605,12658.97398
06037189101,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4469,4253805.294,8256.535988
06037189102,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4470,6905576.161,12037.64268
06037189201,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4471,3506033.15,7950.823968
06037189202,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4472,11036873.87,16286.49026
06037189300,District 5,Los Angeles - Los Feliz,SPA 4 - Metro,4473,20565714.22,24814.66324
06037189400,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,4474,15507607.53,23706.4366
06037189501,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,4475,3813790.654,8060.133875
06037189502,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,4476,2663667.326,6911.334448
06037189600,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,4477,11513193.68,18537.86658
06037183620,District 1,Los Angeles - Highland Park,SPA 4 - Metro,4478,5605125.851,9297.165099
06037189702,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,4479,15623394.37,21310.44228
06037189703,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,4480,35757590.59,39992.79944
06037189704,District 5,Los Angeles - Hollywood Hills,SPA 4 - Metro,4481,11045948.98,22924.24202
06037189801,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4482,4463763.625,9921.861297
06037189802,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4483,3406698.649,7860.661236
06037189903,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4583,911068.4502,4147.043296
06037189904,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4584,1717995.097,5282.078075
06037189905,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4585,2781471.508,6976.504928
06037189906,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4586,2180620.14,5943.032652
06037189907,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4587,1746419.551,5286.484129
06037190101,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4588,2408287.255,6809.254856
06037190102,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4589,4050079.622,8766.03717
06037190201,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4590,2414905.833,6702.511792
06037190202,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4591,2268330.934,6272.847416
06037190302,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4592,2672677.898,9399.590726
06037190303,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4593,1758851.837,5299.096549
06037190401,District 1,Los Angeles - Thai Town,SPA 4 - Metro,4594,1794718.619,5352.38817
06037190402,District 1,Los Angeles - Thai Town,SPA 4 - Metro,4595,1703419.563,5220.962615
06037190510,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4596,3431162.772,7980.935922
06037190520,District 1,Los Angeles - Thai Town,SPA 4 - Metro,4597,2623817.315,6611.946125
06037190701,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4598,4762913.411,9891.611917
06037190702,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4599,2152980.215,5909.328017
06037190801,District 3,Los Angeles - Hollywood,SPA 4 - Metro,4600,3489354.941,7925.329311
