geoid,FIPS,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count,pct_lowaccess,pct_lowaccess_li,pct_lowaccess_kids
1400000U,06037134103,6037134103,2019,4193,0,0,0,0,0,0,0
1400000U,06037134104,6037134104,2019,4322,0,0,0,0,0,0,0
1400000U,06037134201,6037134201,2019,4270,0,0,0,0,0,0,0
1400000U,06037134302,6037134302,2019,3732,2,1,0,0,0.000535906,0.000267953,0
1400000U,06037134303,6037134303,2019,5087,0,0,0,0,0,0,0
1400000U,06037134304,6037134304,2019,2882,0,0,0,0,0,0,0
1400000U,06037134305,6037134305,2019,3847,0,0,0,0,0,0,0
1400000U,06037134306,6037134306,2019,3498,0,0,0,0,0,0,0
1400000U,06037134421,6037134421,2019,3941,61,4,16,4,0.015478305,0.001014971,0.004059883
1400000U,06037134422,6037134422,2019,4680,0,0,0,0,0,0,0
1400000U,06037134423,6037134423,2019,3414,0,0,0,0,0,0,0
1400000U,06037134424,6037134424,2019,2887,1911,185,488,193,0.661932802,0.06408036,0.169033599
1400000U,06037134520,6037134520,2019,5453,0,0,0,0,0,0,0
1400000U,06037134521,6037134521,2019,3126,0,0,0,0,0,0,0
1400000U,06037134522,6037134522,2019,3954,0,0,0,0,0,0,0
1400000U,06037134710,6037134710,2019,5287,0,0,0,0,0,0,0
1400000U,06037134720,6037134720,2019,4594,0,0,0,0,0,0,0
1400000U,06037134801,6037134801,2019,2933,0,0,0,0,0,0,0
1400000U,06037134802,6037134802,2019,3016,0,0,0,0,0,0,0
1400000U,06037134901,6037134901,2019,3069,0,0,0,0,0,0,0
1400000U,06037134904,6037134904,2019,4338,0,0,0,0,0,0,0
1400000U,06037134905,6037134905,2019,2819,318,86,53,21,0.11280596,0.030507272,0.018800993
1400000U,06037134906,6037134906,2019,1301,0,0,0,0,0,0,0
1400000U,06037134907,6037134907,2019,2915,0,0,0,0,0,0,0
1400000U,06037135102,6037135102,2019,3490,0,0,0,0,0,0,0
1400000U,06037135111,6037135111,2019,2951,0,0,0,0,0,0,0
1400000U,06037135113,6037135113,2019,2795,0,0,0,0,0,0,0
1400000U,06037135115,6037135115,2019,1167,0,0,0,0,0,0,0
1400000U,06037135116,6037135116,2019,3278,0,0,0,0,0,0,0
1400000U,06037135201,6037135201,2019,2620,0,0,0,0,0,0,0
1400000U,06037135202,6037135202,2019,4255,0,0,0,0,0,0,0
1400000U,06037135204,6037135204,2019,2912,355,83,78,46,0.121909341,0.028502747,0.026785714
1400000U,06037135205,6037135205,2019,4143,505,119,111,66,0.121892349,0.028723147,0.02679218
1400000U,06037137000,6037137000,2019,2471,271,26,57,67,0.109672197,0.010522056,0.023067584
1400000U,06037137103,6037137103,2019,4198,0,0,0,0,0,0,0
1400000U,06037137104,6037137104,2019,2715,0,0,0,0,0,0,0
1400000U,06037137202,6037137202,2019,2296,0,0,0,0,0,0,0
1400000U,06037137203,6037137203,2019,2967,0,0,0,0,0,0,0
1400000U,06037137301,6037137301,2019,2264,0,0,0,0,0,0,0
1400000U,06037137302,6037137302,2019,4338,2465,328,508,563,0.568234209,0.075610881,0.117104657
1400000U,06037137401,6037137401,2019,4156,0,0,0,0,0,0,0
1400000U,06037137402,6037137402,2019,5362,0,0,0,0,0,0,0
1400000U,06037137501,6037137501,2019,4124,0,0,0,0,0,0,0
1400000U,06037137502,6037137502,2019,4202,0,0,0,0,0,0,0
1400000U,06037137504,6037137504,2019,1939,996,73,193,221,0.513666839,0.037648272,0.099535843
1400000U,06037138000,6037138000,2019,4484,1131,190,198,193,0.252230152,0.042372881,0.044157003
1400000U,06037139001,6037139001,2019,4767,0,0,0,0,0,0,0
1400000U,06037139200,6037139200,2019,5175,0,0,0,0,0,0,0
1400000U,06037139301,6037139301,2019,4462,0,0,0,0,0,0,0
1400000U,06037139302,6037139302,2019,4422,0,0,0,0,0,0,0
1400000U,06037139303,6037139303,2019,4186,0,0,0,0,0,0,0
1400000U,06037139401,6037139401,2019,2645,0,0,0,0,0,0,0
1400000U,06037139402,6037139402,2019,2851,0,0,0,0,0,0,0
1400000U,06037139502,6037139502,2019,3007,0,0,0,0,0,0,0
1400000U,06037139504,6037139504,2019,3476,0,0,0,0,0,0,0
1400000U,06037139505,6037139505,2019,2240,0,0,0,0,0,0,0
1400000U,06037139506,6037139506,2019,2417,0,0,0,0,0,0,0
1400000U,06037139600,6037139600,2019,4633,0,0,0,0,0,0,0
1400000U,06037139701,6037139701,2019,4919,0,0,0,0,0,0,0
1400000U,06037139703,6037139703,2019,2943,1096,185,231,197,0.372409106,0.062861026,0.078491335
1400000U,06037139704,6037139704,2019,4224,2264,209,509,526,0.535984848,0.049479167,0.120501894
1400000U,06037139705,6037139705,2019,2024,1085,100,244,252,0.536067194,0.049407115,0.12055336
1400000U,06037139801,6037139801,2019,3533,1567,121,335,381,0.443532409,0.034248514,0.094820266
1400000U,06037139802,6037139802,2019,3860,3210,411,707,691,0.831606218,0.106476684,0.183160622
