X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-118.55352,34.230961,923490,Costco Wholesale 0437,8810 Tampa Ave,,Northridge,CA,91324,3519,LOS ANGELES,Super Store,34.230961,-118.55352,,,76069
-118.4618,34.403622,923494,Costco Wholesale 0447,18649 Via Princessa,,Santa Clarita,CA,91387,4935,LOS ANGELES,Super Store,34.403622,-118.4618,,,76073
-118.11479,34.062325,923499,Costco Wholesale 1318,2000 Market Place Dr,,Monterey Park,CA,91755,2585,LOS ANGELES,Super Store,34.062325,-118.11479,,,76079
-118.44622,33.991287,923512,Costco Wholesale 0479,13463 Washington Blvd,,Marina del Rey,CA,90292,5658,LOS ANGELES,Super Store,33.991287,-118.44622,,,76091
-118.37223,33.90004,923533,Costco Wholesale 0671,14501 Hindry Ave,,Hawthorne,CA,90250,6748,LOS ANGELES,Super Store,33.90004,-118.37223,,,76160
-118.32352,34.183735,923534,Costco Wholesale 0677,1051 W Burbank Blvd,,Burbank,CA,91506,1421,LOS ANGELES,Super Store,34.183735,-118.32352,,,76261
-117.92108,33.99493,923536,Costco Wholesale 0679,17550 Castleton St,,City of Industry,CA,91748,1701,LOS ANGELES,Super Store,33.99493,-117.92108,,,76279
-118.34385,33.91861,923729,Costco Wholesale 0564,12530 Prairie Ave,,Hawthorne,CA,90250,4638,LOS ANGELES,Super Store,33.91861,-118.34385,,,76445
-118.14311,33.994789,923730,Costco Wholesale 0569,6333 Telegraph Rd,,Commerce,CA,90040,2513,LOS ANGELES,Super Store,33.994789,-118.14311,,,76446
-118.14925,34.660397,923548,Costco Wholesale 0762,1141 W Avenue L,,Lancaster,CA,93534,7077,LOS ANGELES,Super Store,34.660397,-118.14925,,,76455
-118.33416,33.945442,923550,Costco Wholesale 0769,3560 W Century Blvd,,Inglewood,CA,90303,1201,LOS ANGELES,Super Store,33.945442,-118.33416,,,76471
-117.82878,34.11235,923567,Costco Wholesale 1015,520 N Lone Hill Ave,,San Dimas,CA,91773,1725,LOS ANGELES,Super Store,34.11235,-117.82878,,,76499
-118.14178,33.850395,923574,Costco Wholesale 1050,340 Lakewood Center Mall,,Lakewood,CA,90712,2409,LOS ANGELES,Super Store,33.850395,-118.14178,,,76506
-118.42579,34.242336,888891,La Potosina Meat & Market,13439 Osborne St,Ste 5,Arleta,CA,91331,4752,LOS ANGELES,Grocery Store,34.242336,-118.42579,,,76997
-118.5886,34.219997,755015,City Market 3,20903 Roscoe Blvd,,Canoga Park,CA,91304,4309,LOS ANGELES,Convenience Store,34.219997,-118.5886,,,77039
-118.2673,34.020493,755759,30TH STREET MARKET,2924 Maple Ave,,Los Angeles,CA,90011,1942,LOS ANGELES,Convenience Store,34.020493,-118.2673,,,77174
-117.93507,34.036106,889315,Kim's Market & Liquor,16024 Amar Rd,,City of Industry,CA,91744,2203,LOS ANGELES,Convenience Store,34.036106,-117.93507,,,77353
-118.57969,34.202129,933712,Smart & Final 512,7224 Mason Ave,,Winnetka,CA,91306,2820,LOS ANGELES,Super Store,34.202129,-118.57969,,,77676
-118.14759,34.596062,889127,Smart & Final 437,39212 10th St W,,Palmdale,CA,93551,3753,LOS ANGELES,Super Store,34.596062,-118.14759,,,77816
-118.3763,34.076008,883792,CVS Pharmacy 9503,8490 Beverly Blvd,,Los Angeles,CA,90048,3497,LOS ANGELES,Other,34.076008,-118.3763,,,78085
-118.39548,34.143517,883795,CVS Pharmacy 9527,12100 Ventura Blvd,,Studio City,CA,91604,2514,LOS ANGELES,Other,34.143517,-118.39548,,,78086
-117.73904,34.089912,757168,99 Cents Only Store 226,602 E Arrow Hwy,,Pomona,CA,91767,2245,LOS ANGELES,Other,34.089912,-117.73904,,,78192
-118.11105,34.001785,758263,Balcoms Southside Market ,600 S Montebello Blvd,,Montebello,CA,90640,5704,LOS ANGELES,Convenience Store,34.001785,-118.11105,,,78210
-117.95029,34.034767,757242,NORTHGATE MARKET,831 N Hacienda Blvd,,La Puente,CA,91744,2809,LOS ANGELES,Super Store,34.034767,-117.95029,,The Regents of the Univ. of Calif. San Diego,78267
-118.11353,33.973736,759221,Circle K 2725659,8451 Slauson Ave,,Pico Rivera,CA,90660,4324,LOS ANGELES,Convenience Store,33.973736,-118.11353,,,78268
-118.32647,33.899021,886019,P & J African Carribean Products,14616 Crenshaw Blvd,,Gardena,CA,90249,3147,LOS ANGELES,Grocery Store,33.899021,-118.32647,,,78393
-118.44917,34.291,884596,HMZ Inc 82847,1753 Truman St,,San Fernando,CA,91340,3143,LOS ANGELES,Convenience Store,34.291,-118.44917,,,78499
-118.25808,34.077106,756471,Walgreens 09136,1625 W Sunset Blvd,,Los Angeles,CA,90026,4226,LOS ANGELES,Other,34.077106,-118.25808,,,78522
-118.44878,34.200684,757532,Walgreens 05525,7155 Van Nuys Blvd,,Van Nuys,CA,91405,3006,LOS ANGELES,Other,34.200684,-118.44878,,,78583
