,tract,census tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length,Total Woman 15-50,Women with births 12 Months,Total Population,Birth Rate,Fertility Rate,Low Birth Weight,Low Birth Weight Pctl,Average income,Grocery Store Access,Grocery Store Access Percent
0,6037207501,06037207501,District 1,Los Angeles - Downtown,SPA 4 - Metro,2496,1460154.432,4739.840356,664,33,2489,0.01325833668,0.04969879518,5.21,57.72,71628,0,0
0,6037207502,06037207502,District 1,Los Angeles - Downtown,SPA 4 - Metro,2497,4463490.012,9079.039955,597,11,4113,0.002674446876,0.01842546064,7.69,95.16,17989,0,0
0,6037207711,06037207711,District 1,Los Angeles - Downtown,SPA 4 - Metro,2498,7428549.182,14671.25667,672,15,2280,0.006578947368,0.02232142857,0,0,121477,0,0
0,6037207712,06037207712,District 1,Los Angeles - Downtown,SPA 4 - Metro,2499,4383784.372,9437.955472,1571,74,4737,0.0156217015,0.04710375557,0,0,77213,0,0
0,6037207901,06037207901,District 1,Los Angeles - Downtown,SPA 4 - Metro,2500,2128884.62,6828.323144,869,0,3645,0,0,0,0,68333,0,0
0,6037207902,06037207902,District 1,Los Angeles - Downtown,SPA 4 - Metro,2501,7634284.114,11075.60027,2835,95,7405,0.01282916948,0.03350970018,0,0,106206,0,0
0,6037208001,06037208001,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2502,6277025.371,11140.08552,892,0,2494,0,0,0,0,73553,0,0
0,6037208002,06037208002,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2503,4063649.021,8994.419852,1070,54,4113,0.01312910284,0.05046728972,0,0,37443,0,0
0,6037208301,06037208301,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2504,1059097.596,5122.536346,520,28,1878,0.01490947817,0.05384615385,5.38,61.71,50054,0,0
0,6037208302,06037208302,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2505,4716446.304,9773.07262,1481,88,4560,0.01929824561,0.05941931128,6.91,88.95,45194,0,0
0,6037208401,06037208401,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2506,2469648.369,6288.091978,956,11,3832,0.002870563674,0.01150627615,4.22,31.67,44943,0,0
0,6037208402,06037208402,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2507,3704274.592,8618.234565,743,57,2590,0.02200772201,0.07671601615,4.72,44.47,50446,0,0
0,6037208501,06037208501,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2508,2614754.837,6561.528141,751,14,2283,0.006132282085,0.01864181092,2.1,2.35,62750,0,0
0,6037208502,06037208502,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2509,2796254.319,6766.576918,1099,55,3540,0.01553672316,0.05004549591,7.66,94.92,42129,0,0
0,6037208610,06037208610,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2510,3802019.996,8257.266395,1172,127,3878,0.03274883961,0.1083617747,6.09,77.05,58125,0,0
0,6037208620,06037208620,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2511,3490954.759,8191.681167,1239,90,4052,0.0222112537,0.07263922518,8.06,96.72,52391,0,0
0,6037208710,06037208710,District 1,Los Angeles - Westlake,SPA 4 - Metro,2512,1824918.229,5646.281765,1272,0,4147,0,0,3.9,24.31,58788,0,0
0,6037208720,06037208720,District 1,Los Angeles - Westlake,SPA 4 - Metro,2513,1753988.314,6905.126175,1100,0,3810,0,0,6.81,87.77,33458,0,0
0,6037208801,06037208801,District 1,Los Angeles - Westlake,SPA 4 - Metro,2514,2902686.711,7792.473191,910,30,3566,0.008412787437,0.03296703297,6.32,80.73,40704,0,0
0,6037208802,06037208802,District 1,Los Angeles - Westlake,SPA 4 - Metro,2515,2279363.023,7692.527836,725,116,2942,0.03942895989,0.16,7.66,94.92,39400,0,0
0,6037208902,06037208902,District 1,Los Angeles - Westlake,SPA 4 - Metro,2516,1980055.598,5658.493038,591,41,2570,0.01595330739,0.06937394247,6.98,89.65,35313,0,0
0,6037208903,06037208903,District 1,Los Angeles - Westlake,SPA 4 - Metro,2517,1714545.078,7038.479644,732,10,3888,0.002572016461,0.01366120219,4.72,44.47,42285,0,0
0,6037208904,06037208904,District 1,Los Angeles - Westlake,SPA 4 - Metro,2518,1224138.453,4504.137119,696,71,3882,0.01828954147,0.1020114943,5.81,71.26,22961,0,0
0,6037209103,06037209103,District 1,Los Angeles - Westlake,SPA 4 - Metro,2519,1337574.158,4685.369347,932,64,3079,0.02078596947,0.0686695279,7.01,90.02,29056,0,0
0,6037209104,06037209104,District 1,Los Angeles - Westlake,SPA 4 - Metro,2607,735766.4385,3760.813998,627,10,2380,0.004201680672,0.01594896332,6.25,79.73,28088,0,0
0,6037209105,06037209105,District 1,Los Angeles - Westlake,SPA 4 - Metro,2608,892285.9023,3984.962068,601,119,2665,0.04465290807,0.1980033278,0,0,28156,0,0
